Date,Open,High,Low,Close,Volume,Adj Close
5/2/16,50.279999,50.700001,50.150002,50.59,14780300,50.205516
5/3/16,49.860001,50.130001,49.540001,50,16246400,49.62
5/4/16,49.060001,49.27,48.68,48.939999,22402500,48.939999
5/5/16,48.970001,49.189999,48.77,48.959999,15953600,48.959999
5/6/16,48.709999,49.119999,48.650002,49.02,14153300,49.02
5/9/16,49.02,49.220001,48.810001,48.880001,13723000,48.880001
5/10/16,49,49.509998,49,49.400002,14187800,49.400002
5/11/16,49.360001,49.720001,49.080002,49.080002,16638700,49.080002
5/12/16,49.34,49.580002,49.049999,49.200001,13566200,49.200001
5/13/16,49.099998,49.43,48.209999,48.240002,24987000,48.240002
5/16/16,48.119999,48.630001,47.939999,48.27,19581200,48.27
5/17/16,48.139999,48.169998,47.549999,47.619999,21423400,47.619999
5/18/16,47.68,48.720001,47.619999,48.650002,29983000,48.650002
5/19/16,48.439999,48.959999,48.16,48.380001,13543000,48.380001
5/20/16,48.619999,49.209999,48.560001,48.75,13219800,48.75
5/23/16,48.759998,48.880001,48.349998,48.700001,10428300,48.700001
5/24/16,49.049999,49.369999,48.689999,49.200001,16409400,49.200001
5/25/16,49.580002,50.830002,49.509998,50.5,22478600,50.5
5/26/16,50.52,50.66,50.400002,50.549999,14733900,50.549999
5/27/16,50.599998,50.860001,50.490002,50.849998,13428700,50.849998
5/31/16,51.02,51.189999,50.490002,50.720001,18096000,50.720001
6/1/16,50.259998,51.040001,50.169998,51,16753200,51
6/2/16,50.959999,51.110001,50.709999,51.110001,14179600,51.110001
6/3/16,50.169998,50.310001,49.610001,50.189999,25314500,50.189999
6/6/16,50.240002,50.869999,50.189999,50.490002,14524300,50.490002
6/7/16,50.73,50.73,50.27,50.27,15291700,50.27
6/8/16,50.25,50.439999,49.740002,50,18118700,50
6/9/16,49.650002,49.68,48.849998,49.139999,19277500,49.139999
6/10/16,48.490002,48.709999,48.169998,48.34,16698400,48.34
6/13/16,48.130001,48.509998,47.959999,47.970001,16067300,47.970001
6/14/16,47.860001,48.119999,46.509998,46.880001,25276200,46.880001
6/15/16,47.27,47.560001,46.740002,46.779999,19745300,46.779999
6/16/16,46.470001,46.860001,45.959999,46.849998,15570100,46.849998
6/17/16,46.849998,47,46.52,46.599998,25132200,46.599998
6/20/16,47.490002,47.900002,46.919998,46.93,19329500,46.93
